Cue,n,n affordance,total affordance,,,n ==  number of participants respnding to cue
mat,33,29,84,,,
tracksuit,33,31,89,,,
powder,33,28,77,,,
steelworker,33,25,54,,,
caretaker,33,31,77,,,
citrus,33,31,76,,,
cocoa,33,23,71,,,
shack,33,31,73,,,
craftsman,33,28,52,,,
stepladder,33,31,80,,,
tambourine,33,27,79,,,
crawfish,33,28,84,,,
vest,33,28,77,,,
vine,33,27,58,,,
amulet,33,26,55,,,
sifter,33,31,72,,,
shot,33,26,67,,,
fungus,33,26,76,,,
beet,33,27,100,,,
roach,33,25,63,,,
pickle,33,30,77,,,
teeth,33,33,108,,,
physician,33,29,75,,,
tofu,33,25,70,,,
ticket,33,26,63,,,
bathe,33,28,62,,,
blindfold,33,31,66,,,
radish,33,26,71,,,
guitar,33,29,83,,,
pad,33,30,68,,,
storeroom,33,26,54,,,
people,33,29,93,,,
cheese,33,29,85,,,
store,33,30,74,,,
grandniece,33,21,52,,,
tent,33,33,77,,,
eyelid,33,30,75,,,
stick,33,31,89,,,
case,33,29,60,,,
blazer,33,32,74,,,
stove,33,32,94,,,
fleece,33,30,70,,,
hibachi,33,27,69,,,
satin,33,21,48,,,
linen,33,22,60,,,
coal,33,31,77,,,
apprentice,33,28,57,,,
lip,33,31,87,,,
eyepiece,33,31,62,,,
figurine,33,30,88,,,
woodwork,33,29,84,,,
doll,33,30,110,,,
skillet,34,33,87,,,
raisin,34,31,98,,,
pimple,34,31,68,,,
dandruff,34,22,39,,,
woodblock,34,31,81,,,
web,34,28,81,,,
washcloth,34,33,90,,,
undershirt,34,33,90,,,
trumpet,34,29,88,,,
trousers,34,31,80,,,
tinplate,34,32,62,,,
tin,34,24,57,,,
tie,34,25,71,,,
terrier,34,28,103,,,
tape,34,28,61,,,
swamp,34,22,46,,,
stamp,34,28,72,,,
spoon,34,31,121,,,
sourdough,34,28,87,,,
soles,34,28,60,,,
shuttle,34,34,74,,,
shoelace,34,32,74,,,
senorita,34,20,43,,,
scratches,34,30,81,,,
saddle,34,27,64,,,
rotisserie,34,30,61,,,
radiologist,34,29,53,,,
puppy,34,31,146,,,
pub,34,29,90,,,
pompom,34,31,79,,,
playground,34,34,100,,,
piccolo,34,30,71,,,
peppercorn,34,26,53,,,
peelings,34,24,47,,,
path,34,28,73,,,
outfit,34,28,104,,,
ornament,34,30,90,,,
orange,34,26,94,,,
oilcan,34,33,85,,,
neckwear,34,27,61,,,
mutt,34,26,89,,,
mentor,34,32,86,,,
marble,34,28,78,,,
maple,34,22,59,,,
magician,34,30,67,,,
lobbyist,34,24,61,,,
letter,34,31,118,,,
keepsake,34,26,72,,,
hurdle,34,30,76,,,
haystack,34,30,88,,,
hatchet,34,30,87,,,
hairstyle,34,29,79,,,
hairpiece,34,28,69,,,
gum,34,32,103,,,
gravel,34,28,71,,,
goldsmith,34,25,55,,,
goatee,34,25,69,,,
gauze,34,28,65,,,
foxhound,34,30,72,,,
finger,34,32,124,,,
film,34,29,75,,,
farmhand,34,31,68,,,
eyedrop,34,25,44,,,
drywall,34,29,64,,,
drain,34,28,56,,,
dietician,34,27,78,,,
dentist,34,29,87,,,
daisy,34,28,92,,,
daiquiri,34,32,77,,,
crowbar,34,31,77,,,
crossword,34,23,60,,,
compressor,34,31,65,,,
compost,34,31,55,,,
clubhouse,34,29,72,,,
clarinet,34,31,83,,,
chick,34,20,49,,,
ceramic,34,23,63,,,
buoy,34,31,68,,,
bunkhouse,34,29,67,,,
brother,34,29,102,,,
breastbone,34,24,50,,,
brass,34,24,44,,,
bone,34,27,65,,,
birdseed,34,28,77,,,
beverage,34,30,113,,,
beefcake,34,32,66,,,
bead,34,24,53,,,
barber,34,31,72,,,
balloon,34,32,100,,,
auto,34,23,63,,,
antihistamine,34,24,48,,,
upholstery,34,26,62,,,
tights,34,29,78,,,
stake,34,30,75,,,
sash,34,24,56,,,
rack,34,30,64,,,
postage,34,30,63,,,
polyester,34,24,53,,,
plow,34,29,74,,,
man,34,25,114,,,
litter,34,27,81,,,
lilac,34,28,69,,,
businesswoman,34,25,58,,,
backbone,34,28,63,,,
virgin,34,23,41,,,
crossbar,34,27,60,,,
flowerbed,34,28,69,,,
lamb,34,27,74,,,
pal,34,27,82,,,
insect,34,28,84,,,
sauce,34,32,108,,,
roast,34,29,67,,,
mistletoe,34,32,70,,,
crepe,34,30,91,,,
neurologist,34,26,58,,,
vein,34,25,59,,,
anus,34,26,46,,,
rake,34,30,64,,,
liqueur,34,28,75,,,
playroom,34,26,59,,,
blackberry,34,25,80,,,
crayon,34,29,114,,,
booth,34,31,88,,,
fisherman,34,29,90,,,
hourglass,34,30,74,,,
dumbbell,34,30,84,,,
pinkie,34,26,68,,,
scale,34,30,64,,,
bicep,34,29,73,,,
wand,34,30,66,,,
bird,34,32,79,,,
desert,34,27,51,,,
motorboat,34,31,79,,,
cushion,34,30,81,,,
funnel,34,29,59,,,
silk,34,21,47,,,
pine,34,25,58,,,
salesman,34,28,51,,,
peanut,34,28,67,,,
goldfish,34,29,77,,,
person,34,31,96,,,
paperback,34,25,80,,,
yam,34,32,83,,,
pool,34,32,94,,,
rectum,34,24,48,,,
flatiron,34,31,68,,,
policewoman,34,27,62,,,
collar,34,24,49,,,
note,34,33,91,,,
scientist,34,28,65,,,
postman,34,33,77,,,
pomegranate,34,34,107,,,
fingerprint,35,31,76,,,
washbowl,35,34,89,,,
warden,35,26,57,,,
twine,35,34,92,,,
tuxedo,35,32,89,,,
train,35,34,92,,,
toilet,35,30,77,,,
tattoo,35,27,63,,,
sword,35,33,114,,,
summerhouse,35,30,78,,,
stethoscope,35,29,55,,,
sneaker,35,34,99,,,
skateboarder,35,30,62,,,
sign,35,32,79,,,
sedative,35,32,67,,,
scoop,35,33,81,,,
saleswoman,35,31,73,,,
repairer,35,31,57,,,
razor,35,33,89,,,
racehorse,35,33,95,,,
quarter,35,30,99,,,
proofreader,35,31,70,,,
powerboat,35,34,74,,,
player,35,23,57,,,
pinwheel,35,29,73,,,
patrolman,35,31,63,,,
oregano,35,30,69,,,
offspring,35,27,75,,,
newsman,35,33,66,,,
matchstick,35,32,86,,,
marmalade,35,28,66,,,
mannequin,35,30,62,,,
manicure,35,28,63,,,
machinery,35,29,75,,,
locksmith,35,33,64,,,
llama,35,32,91,,,
lipstick,35,29,75,,,
ledge,35,30,76,,,
latch,35,33,73,,,
land,35,29,96,,,
kaleidoscope,35,30,72,,,
intercom,35,33,76,,,
houseboat,35,33,102,,,
honey,35,28,87,,,
headdress,35,32,62,,,
handshake,35,31,58,,,
hairnet,35,33,54,,,
griddle,35,34,90,,,
golfer,35,28,63,,,
food,35,35,123,,,
folder,35,32,87,,,
foghorn,35,30,60,,,
floorboard,35,33,93,,,
firstborn,35,26,87,,,
fiddle,35,31,83,,,
fan,35,30,76,,,
factory,35,32,66,,,
eyelash,35,30,77,,,
electronics,35,33,112,,,
eggshell,35,31,59,,,
edibles,35,32,88,,,
drawers,35,35,149,,,
doorbell,35,30,61,,,
diner,35,33,101,,,
dime,35,31,90,,,
cuisine,35,29,72,,,
costume,35,28,73,,,
cornbread,35,35,102,,,
comic,35,28,79,,,
cloverleaf,35,26,65,,,
childbirth,35,25,42,,,
cherry,35,31,97,,,
checkbook,35,32,84,,,
caviar,35,33,78,,,
bunkmate,35,30,65,,,
brickwork,35,30,80,,,
braid,35,31,67,,,
boulder,35,32,79,,,
bin,35,29,64,,,
baseball,35,33,138,,,
barricade,35,35,79,,,
artifact,35,30,67,,,
arm,35,32,155,,,
album,35,29,93,,,
advisor,35,34,68,,,
stepdaughter,35,25,63,,,
ruby,35,24,81,,,
rink,35,34,85,,,
police,35,32,93,,,
lumber,35,31,104,,,
curtain,35,30,95,,,
cart,35,33,92,,,
cross,35,23,51,,,
granite,35,21,60,,,
apparatus,35,22,58,,,
pigtail,35,19,37,,,
fauna,35,27,68,,,
magazine,35,32,102,,,
wallet,35,31,106,,,
gem,35,23,64,,,
cabinet,35,27,63,,,
kitty,35,27,70,,,
menu,35,29,75,,,
toddler,35,27,109,,,
cobweb,35,27,58,,,
showerhead,35,29,91,,,
stockings,35,28,88,,,
certificate,35,29,105,,,
someone,35,27,127,,,
hip,35,31,96,,,
nostril,35,33,82,,,
harvest,35,28,59,,,
balcony,35,33,81,,,
chinaware,35,31,79,,,
snowfall,35,27,71,,,
crystal,35,27,62,,,
controller,35,22,49,,,
molasses,35,34,82,,,
acupuncture,35,25,43,,,
furnace,35,30,65,,,
butt,35,29,80,,,
casserole,35,30,94,,,
nickel,35,29,65,,,
lake,35,32,103,,,
soap,35,35,88,,,
bouquet,36,29,91,,,
yearbook,36,33,92,,,
worm,36,35,103,,,
workbook,36,32,100,,,
woman,36,28,98,,,
wallpaper,36,32,86,,,
walker,36,35,100,,,
tricycle,36,33,69,,,
tower,36,30,83,,,
tortoise,36,30,86,,,
tortilla,36,30,115,,,
tightrope,36,32,101,,,
termite,36,29,57,,,
tepee,36,30,78,,,
taxi,36,34,86,,,
tank,36,32,107,,,
syrup,36,29,91,,,
subway,36,34,88,,,
stretcher,36,32,66,,,
stream,36,27,91,,,
sprinter,36,34,65,,,
songbook,36,36,96,,,
singer,36,31,84,,,
sidewalk,36,35,115,,,
shortbread,36,34,87,,,
shelf,36,33,94,,,
seed,36,34,84,,,
sage,36,33,83,,,
remote,36,30,79,,,
pump,36,25,51,,,
porch,36,35,106,,,
pocketknife,36,35,97,,,
pliers,36,36,89,,,
pillar,36,33,61,,,
piercing,36,30,61,,,
pepper,36,36,103,,,
paper,36,34,178,,,
newspaperman,36,31,68,,,
newsletter,36,31,83,,,
nectar,36,29,90,,,
neck,36,33,83,,,
motorist,36,31,59,,,
latex,36,21,41,,,
kneecap,36,35,112,,,
incubator,36,30,64,,,
housekeeper,36,34,96,,,
house,36,33,111,,,
horseshoe,36,35,79,,,
heel,36,29,84,,,
headrest,36,35,72,,,
handkerchief,36,34,91,,,
handbag,36,34,99,,,
graveyard,36,26,77,,,
granny,36,28,67,,,
gold,36,31,104,,,
goat,36,28,91,,,
gift,36,34,107,,,
germ,36,27,62,,,
gate,36,34,104,,,
gardener,36,31,97,,,
garden,36,28,84,,,
fountain,36,32,88,,,
fondue,36,33,71,,,
flute,36,34,98,,,
dollar,36,33,95,,,
dessert,36,33,111,,,
critter,36,27,78,,,
confetti,36,32,70,,,
condom,36,33,66,,,
comb,36,34,62,,,
coke,36,33,90,,,
cockatoo,36,26,73,,,
club,36,33,95,,,
chart,36,31,76,,,
cabin,36,35,81,,,
buttermilk,36,29,70,,,
bug,36,31,85,,,
broth,36,32,82,,,
bootlace,36,34,83,,,
bloodhound,36,30,87,,,
bleacher,36,34,111,,,
beanstalk,36,33,103,,,
antenna,36,29,58,,,
tonic,36,30,77,,,
stone,36,30,106,,,
sheep,36,25,75,,,
perfume,36,35,95,,,
dogcatcher,36,32,65,,,
hailstone,36,30,62,,,
nylon,36,23,60,,,
tampon,36,22,46,,,
mitt,36,27,62,,,
head,36,32,97,,,
eraser,36,35,77,,,
soil,36,32,75,,,
wagon,36,31,65,,,
champagne,36,32,92,,,
dairy,36,27,82,,,
bass,36,26,84,,,
family,36,32,91,,,
berry,36,31,94,,,
tinfoil,36,32,88,,,
device,36,30,100,,,
corn,36,35,118,,,
grandchild,36,28,83,,,
taffy,36,33,93,,,
raincoat,36,34,95,,,
belt,36,33,80,,,
nut,36,34,105,,,
cellar,36,29,51,,,
spatula,36,36,91,,,
sardine,36,30,79,,,
panhandler,37,27,55,,,
tiller,37,26,69,,,
watermelon,37,36,117,,,
watchmaker,37,29,50,,,
washer,37,33,74,,,
waiter,37,36,82,,,
twig,37,34,95,,,
tub,37,36,109,,,
tooth,37,34,121,,,
throat,37,36,110,,,
straitjacket,37,35,85,,,
stallion,37,36,120,,,
stairwell,37,32,98,,,
snail,37,32,83,,,
skin,37,31,91,,,
signpost,37,35,79,,,
shower,37,36,101,,,
shortcake,37,30,76,,,
shore,37,32,85,,,
secretary,37,32,87,,,
scar,37,29,53,,,
sauna,37,36,83,,,
residence,37,35,94,,,
ramp,37,35,97,,,
porridge,37,33,87,,,
plane,37,37,114,,,
penny,37,33,85,,,
pencil,37,36,118,,,
oat,37,27,70,,,
nurse,37,32,78,,,
narcotics,37,29,86,,,
mixer,37,34,82,,,
minister,37,30,74,,,
memo,37,28,73,,,
makeup,37,36,111,,,
mailbag,37,31,76,,,
maid,37,35,81,,,
macaroon,37,33,115,,,
lint,37,28,51,,,
lingerie,37,34,77,,,
labrador,37,33,127,,,
label,37,29,58,,,
kit,37,28,55,,,
ink,37,35,98,,,
hut,37,32,77,,,
handclasp,37,31,61,,,
gravy,37,30,98,,,
glassware,37,36,111,,,
fridge,37,36,80,,,
footstool,37,35,85,,,
flagpole,37,35,66,,,
fedora,37,34,75,,,
extinguisher,37,34,80,,,
epidermis,37,31,88,,,
envelope,37,35,108,,,
drainpipe,37,33,69,,,
donut,37,37,115,,,
deerskin,37,27,65,,,
dart,37,35,94,,,
dance,37,32,81,,,
crisps,37,34,82,,,
creamer,37,25,49,,,
cologne,37,36,100,,,
catfish,37,34,133,,,
canteen,37,33,87,,,
buffalo,37,31,96,,,
buckle,37,33,80,,,
boyfriend,37,34,119,,,
binoculars,37,36,105,,,
beer,37,36,109,,,
apricot,37,33,100,,,
appliance,37,31,107,,,
pinecone,37,32,87,,,
overcoat,37,32,79,,,
dude,37,23,70,,,
plaintiff,37,22,43,,,
bully,37,27,69,,,
pharmacist,37,24,57,,,
mall,37,33,92,,,
necklace,37,27,87,,,
dock,37,30,95,,,
dirt,37,33,98,,,
pan,37,34,109,,,
teaspoonful,37,32,79,,,
crust,37,30,86,,,
trigger,37,28,54,,,
flowerpot,37,33,82,,,
viewfinder,38,30,60,,,
watch,38,33,76,,,
wafer,38,31,97,,,
vodka,38,38,103,,,
vendor,38,32,74,,,
trombone,38,34,98,,,
tree,38,33,119,,,
tote,38,34,79,,,
tongue,38,38,138,,,
tobacco,38,35,78,,,
suitcase,38,38,121,,,
stopwatch,38,34,94,,,
rosary,38,31,69,,,
roommate,38,32,121,,,
pot,38,37,113,,,
portfolio,38,29,66,,,
popcorn,38,34,121,,,
partner,38,32,103,,,
mustard,38,32,81,,,
marshmallow,38,37,124,,,
marijuana,38,33,80,,,
lotion,38,35,89,,,
logbook,38,32,84,,,
lamplight,38,35,97,,,
jaw,38,36,122,,,
hammock,38,37,136,,,
hairbrush,38,36,92,,,
greenery,38,30,69,,,
grandparent,38,31,98,,,
gear,38,31,73,,,
game,38,34,99,,,
fossil,38,31,95,,,
fluid,38,38,127,,,
flashlight,38,36,93,,,
father,38,30,102,,,
environment,38,30,77,,,
encyclopedia,38,33,89,,,
dressing,38,28,71,,,
cream,38,30,79,,,
cow,38,35,101,,,
corvette,38,33,95,,,
comforter,38,34,91,,,
chest,38,33,86,,,
butter,38,34,122,,,
broccoli,38,34,119,,,
blade,38,36,120,,,
bible,38,35,104,,,
bathroom,38,37,116,,,
apron,38,38,115,,,
anklet,38,30,86,,,
animal,38,34,117,,,
acorn,38,35,106,,,
condiment,38,29,89,,,
van,38,34,94,,,
village,38,29,71,,,
bedspread,39,37,124,,,
yoga,39,37,76,,,
vase,39,31,88,,,
tummy,39,34,92,,,
treasure,39,33,120,,,
tomb,39,33,77,,,
sushi,39,36,113,,,
spear,39,37,102,,,
sling,39,31,70,,,
sled,39,36,86,,,
sink,39,36,96,,,
scorecard,39,33,84,,,
salt,39,38,106,,,
poncho,39,34,85,,,
pistachio,39,35,107,,,
pie,39,38,126,,,
pet,39,35,120,,,
newspaper,39,39,141,,,
muscle,39,37,127,,,
monk,39,33,69,,,
moneybags,39,35,91,,,
locket,39,32,71,,,
handle,39,36,119,,,
hamster,39,33,89,,,
glue,39,37,87,,,
earpiece,39,34,65,,,
daughter,39,33,84,,,
cradle,39,36,73,,,
clover,39,36,96,,,
chair,39,39,137,,,
carnival,39,32,77,,,
bulb,39,36,92,,,
broom,39,37,85,,,
bat,39,37,115,,,
ketchup,39,33,71,,,
closet,39,35,93,,,
bartender,39,34,100,,,
flower,39,34,145,,,
toffee,40,37,97,,,
stereo,40,34,92,,,
salad,40,37,118,,,
rag,40,38,120,,,
lid,40,37,103,,,
jeweler,40,34,74,,,
jet,40,40,100,,,
forklift,40,39,112,,,
fence,41,38,109,,,
cornfield,42,38,99,,,
elephant,43,37,99,,,
primate,43,34,91,,,
stationary,45,38,123,,,
blackhead,46,38,81,,,
ingredients,48,44,119,,,
boot,48,45,126,,,
saxophone,49,41,84,,,
dominoes,49,43,108,,,
clothes,49,44,169,,,
groceries,50,45,148,,,
brush,50,44,113,,,
bagpipe,50,44,107,,,
bra,51,46,151,,,
syringe,51,35,92,,,
ammunition,51,40,121,,,
bifocals,52,46,117,,,
stairs,52,48,129,,,
goggles,52,49,113,,,
cactus,53,44,116,,,
underclothes,53,49,127,,,
shingle,53,39,75,,,
lily,53,41,129,,,
knuckle,53,50,130,,,
kid,53,43,152,,,
seat,53,49,109,,,
cape,54,46,107,,,
clip,54,47,125,,,
spices,54,50,127,,,
kiss,54,44,80,,,
buttocks,55,48,121,,,
truck,55,55,184,,,
noodle,55,52,164,,,
lime,55,45,134,,,
dad,55,42,108,,,
tongs,55,51,110,,,
calf,55,46,114,,,
rain,56,50,133,,,
chopsticks,56,54,150,,,
masseuse,56,53,119,,,
prop,56,50,125,,,
plastic,57,49,153,,,
omelet,57,50,138,,,
flannel,57,47,148,,,
mucus,57,39,82,,,
skittles,57,48,141,,,
dagger,58,56,172,,,
jeans,58,50,130,,,
antique,58,53,170,,,
breasts,59,47,138,,,
nutcracker,59,56,124,,,
whiskers,59,48,91,,,
townsfolk,59,41,101,,,
mansion,59,49,177,,,
vagina,59,50,105,,,
machete,60,56,163,,,
needle,60,56,132,,,
shavings,60,40,71,,,
scissors,60,60,135,,,
whiskey,60,54,143,,,
medic,60,51,112,,,
mullet,60,43,98,,,
tranquilizer,60,56,102,,,
medicine,60,54,184,,,
leaf,61,53,153,,,
pajamas,61,59,142,,,
sketchbook,61,60,205,,,
wound,61,56,133,,,
weapon,62,58,194,,,
carpet,63,56,149,,,
denim,63,48,143,,,
string,63,54,163,,,
cracker,64,59,183,,,
compass,64,57,140,,,
canvas,65,62,175,,,
apartment,65,61,216,,,
shrub,67,56,149,,,
traveler,68,63,161,,,
mayonnaise,68,55,161,,,
ash,69,56,118,,,
vitamins,72,58,159,,,
receipt,72,61,158,,,
suspenders,72,60,118,,,
underwear,88,74,218,,,
axe,97,93,263,,,
genitals,98,86,192,,,
